
 ⛅️ wrangler 4.98.0
───────────────────
Successfully created tail, expires at 2026-06-06T20:28:41Z
Connected to doare-coffee-api, waiting for logs...
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts/cach-pha-ca-phe-tai-nha-ngon - Ok @ 6/6/2026, 10:56:58 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 10:57:05 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:57:05 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:57:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/orders?limit=100 - Ok @ 6/6/2026, 10:57:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/dashboard - Ok @ 6/6/2026, 10:57:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/customers?limit=100 - Ok @ 6/6/2026, 10:57:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:57:53 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/customers?limit=100 - Ok @ 6/6/2026, 10:57:54 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:57:54 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/orders?limit=100 - Ok @ 6/6/2026, 10:57:54 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/dashboard - Ok @ 6/6/2026, 10:57:54 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/logout - Ok @ 6/6/2026, 10:57:56 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/logout - Ok @ 6/6/2026, 10:57:56 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/ - Ok @ 6/6/2026, 11:01:15 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 11:01:24 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/login - Ok @ 6/6/2026, 11:01:24 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts/thumbnail-upload-qa - Ok @ 6/6/2026, 11:01:25 PM
DELETE https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts/BP909C5BDCDBEA42A7 - Ok @ 6/6/2026, 11:01:25 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/logout - Ok @ 6/6/2026, 11:01:25 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:03:33 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:03:33 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:03:33 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:03:33 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts/cach-pha-ca-phe-tai-nha-ngon - Ok @ 6/6/2026, 11:03:37 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:03:40 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:03:40 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts/cach-pha-ca-phe-tai-nha-ngon - Ok @ 6/6/2026, 11:03:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 11:03:56 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 11:03:56 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/login - Ok @ 6/6/2026, 11:06:59 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/login - Ok @ 6/6/2026, 11:06:59 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/dashboard - Ok @ 6/6/2026, 11:07:00 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/customers?limit=100 - Ok @ 6/6/2026, 11:07:00 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 11:07:00 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/orders?limit=100 - Ok @ 6/6/2026, 11:07:00 PM
